obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
219,1813-04-09 03:49:41.000,,t_b,in,FALSE,TRUE,N
219,1813-04-09 03:50:49.000,,t_a,out,FALSE,TRUE,N
219,1813-04-09 03:51:29.500,,t_b,out,FALSE,TRUE,N
219,1813-04-09 03:52:06.000,,S,out,FALSE,TRUE,N
220,1813-04-10 02:49:14.000,,S,in,FALSE,TRUE,N
220,1813-04-10 02:49:47.000,,t_a,in,FALSE,TRUE,N
220,1813-04-10 02:50:16.000,,t_b,in,FALSE,TRUE,N
220,1813-04-10 02:51:32.500,,t_a,out,FALSE,TRUE,N
220,1813-04-10 02:52:11.750,,t_b,out,FALSE,TRUE,N
220,1813-04-10 02:53:02.500,,S,out,FALSE,TRUE,N
221,1813-04-10 03:02:40.500,,S,in,FALSE,TRUE,N
221,1813-04-10 03:03:13.500,,t_a,in,FALSE,TRUE,N
221,1813-04-10 03:03:41.500,,t_b,in,FALSE,TRUE,N
221,1813-04-10 03:04:49.000,,t_a,out,FALSE,TRUE,N
221,1813-04-10 03:05:28.000,,t_b,out,FALSE,TRUE,N
221,1813-04-10 03:06:19.000,,S,out,FALSE,TRUE,N
222,1813-04-10 03:11:33.500,,S,in,FALSE,TRUE,N
222,1813-04-10 03:12:07.500,,t_a,in,FALSE,TRUE,N
222,1813-04-10 03:12:35.000,,t_b,in,FALSE,TRUE,N
222,1813-04-10 03:13:41.500,,t_a,out,FALSE,TRUE,N
222,1813-04-10 03:14:21.500,,t_b,out,FALSE,TRUE,N
222,1813-04-10 03:15:12.500,,S,out,FALSE,TRUE,N
223,1813-04-11 03:15:20.500,,S,in,FALSE,TRUE,N
223,1813-04-11 03:15:47.000,,t_a,in,FALSE,TRUE,N
223,1813-04-11 03:16:13.000,,t_b,in,FALSE,TRUE,N
223,1813-04-11 03:17:15.000,,t_a,out,FALSE,TRUE,N
223,1813-04-11 03:17:51.000,,t_b,out,FALSE,TRUE,N
223,1813-04-11 03:18:59.500,,S,out,FALSE,TRUE,N
224,1813-04-11 03:38:41.500,,S,in,FALSE,TRUE,N
224,1813-04-11 03:39:07.000,,t_a,in,FALSE,TRUE,N
224,1813-04-11 03:39:33.000,,t_b,in,FALSE,TRUE,N
224,1813-04-11 03:40:37.000,,t_a,out,FALSE,TRUE,N
224,1813-04-11 03:41:13.000,,t_b,out,FALSE,TRUE,N
224,1813-04-11 03:42:20.500,,S,out,FALSE,TRUE,N
225,1813-04-12 03:15:42.500,,S,in,FALSE,TRUE,N
225,1813-04-12 03:16:03.000,,t_a,in,FALSE,TRUE,N
225,1813-04-12 03:16:26.000,,t_b,in,FALSE,TRUE,N
225,1813-04-12 03:17:26.500,,t_a,out,FALSE,TRUE,N
225,1813-04-12 03:17:59.000,,t_b,out,FALSE,TRUE,N
225,1813-04-12 03:19:22.000,,S,out,FALSE,TRUE,N
226,1813-04-12 03:24:30.000,,S,in,FALSE,TRUE,N
226,1813-04-12 03:24:50.000,,t_a,in,FALSE,TRUE,N
226,1813-04-12 03:25:14.000,,t_b,in,FALSE,TRUE,N
226,1813-04-12 03:26:14.000,,t_a,out,FALSE,TRUE,N
226,1813-04-12 03:26:46.500,,t_b,out,FALSE,TRUE,N
226,1813-04-12 03:28:00.000,1813-04-12 03:28:10.000,S,out,FALSE,TRUE,N
227,1813-04-12 03:33:24.500,,S,in,FALSE,TRUE,N
227,1813-04-12 03:33:44.000,,t_a,in,FALSE,TRUE,N
227,1813-04-12 03:34:09.000,,t_b,in,FALSE,TRUE,N
227,1813-04-12 03:35:08.000,,t_a,out,FALSE,TRUE,N
227,1813-04-12 03:35:41.000,,t_b,out,FALSE,TRUE,N
227,1813-04-12 03:37:03.750,,S,out,FALSE,TRUE,N
228,1813-04-13 04:30:48.500,,S,in,FALSE,TRUE,N
228,1813-04-13 04:31:23.000,,t_b,in,FALSE,TRUE,N
228,1813-04-13 04:32:48.500,,t_b,out,FALSE,TRUE,N
228,1813-04-13 04:34:27.000,,S,out,FALSE,TRUE,N
229,1813-04-13 04:43:50.000,,S,in,FALSE,TRUE,N
229,1813-04-13 04:44:35.000,1813-04-13 04:44:25.000,t_b,in,FALSE,TRUE,N
229,1813-04-13 04:45:59.000,,t_b,out,FALSE,TRUE,N
229,1813-04-13 04:47:37.500,,S,out,FALSE,TRUE,N
230,1813-04-13 04:52:31.500,,S,in,FALSE,TRUE,N
