obs_id,recorded_time,modified_time,object,event,rising,sidereal,pole
63,1796-07-15 08:29:36.500,,S,v,TRUE,FALSE,
64,1796-07-15 08:34:57.000,,S,v,TRUE,FALSE,
64,1796-07-15 08:35:28.000,,S,h,TRUE,FALSE,
64,1796-07-15 08:37:14.000,,t_F,h,TRUE,FALSE,
64,1796-07-15 08:37:14.000,,t_F,v,TRUE,FALSE,
64,1796-07-15 08:38:26.000,,S,h,TRUE,FALSE,
64,1796-07-15 08:38:31.000,,S,v,TRUE,FALSE,
59,1796-07-15 06:44:36.000,,S,v,FALSE,FALSE,
59,1796-07-15 06:44:56.000,,S,h,FALSE,FALSE,
59,1796-07-15 06:46:21.500,,t_F,v,FALSE,FALSE,
59,1796-07-15 06:46:53.000,,t_F,h,FALSE,FALSE,
59,1796-07-15 06:47:52.000,,S,v,FALSE,FALSE,
59,1796-07-15 06:48:06.000,,S,h,FALSE,FALSE,
60,1796-07-15 06:49:36.000,,S,h,FALSE,FALSE,
60,1796-07-15 06:49:59.000,,S,v,FALSE,FALSE,
60,1796-07-15 06:51:34.000,,t_F,h,FALSE,FALSE,
60,1796-07-15 06:51:44.000,,t_F,v,FALSE,FALSE,
60,1796-07-15 06:52:50.000,,S,h,FALSE,FALSE,
60,1796-07-15 06:53:11.000,,S,v,FALSE,FALSE,
65,1796-07-16 07:19:45.000,,S,v,TRUE,FALSE,
65,1796-07-16 07:20:09.000,,S,h,TRUE,FALSE,
65,1796-07-16 07:21:37.000,,t_F,h,TRUE,FALSE,
65,1796-07-16 07:21:52.000,,t_F,v,TRUE,FALSE,
65,1796-07-16 07:23:02.000,,S,h,TRUE,FALSE,
65,1796-07-16 07:23:27.000,,S,v,TRUE,FALSE,
66,1796-07-16 07:29:30.000,,S,v,TRUE,FALSE,
66,1796-07-16 07:29:33.000,,S,h,TRUE,FALSE,
66,1796-07-16 07:30:57.000,,t_F,h,TRUE,FALSE,
66,1796-07-16 07:31:40.500,,t_F,v,TRUE,FALSE,
66,1796-07-16 07:32:22.000,,S,h,TRUE,FALSE,
66,1796-07-16 07:33:16.500,,S,v,TRUE,FALSE,
67,1796-07-19 07:43:13.500,,S,h,TRUE,FALSE,
67,1796-07-19 07:43:35.000,,S,v,TRUE,FALSE,
67,1796-07-19 07:44:29.000,,t_G,h,TRUE,FALSE,
67,1796-07-19 07:45:36.000,,t_G,v,TRUE,FALSE,
67,1796-07-19 07:46:06.000,,S,h,TRUE,FALSE,
