date,name,lat_mean,lat_std,long_mean,long_std,cmd_mean,cmd_std,n,reliable
1824-10-21,t,21.86053904,0.878363987,336.7526989,0.780824858,-39.35862255,0.747148797,4,TRUE
1824-10-26,t,21.29574589,1.279292688,336.955204,1.652868677,26.93162005,1.755715428,2,TRUE
1824-10-29,t_new,23.6507877,2.84550241,341.9482446,1.908599643,71.14822419,1.860631619,2,TRUE
1824-10-29,t_old,-19.87143666,,214.7989222,,-55.96717967,,1,FALSE
1825-01-27,t,8.63651063,0.524734387,197.2131365,0.560886653,31.18289884,0.527054669,3,FALSE
1825-09-19,t,-21.47087639,,268.3801212,,-32.29523729,,1,TRUE
1825-09-20,t,-20.67455744,1.659400895,267.6606731,0.584160729,-19.84164597,0.642809709,3,TRUE
1827-02-23,t1,16.82885873,,224.2755481,,-30.14732195,,1,FALSE
1827-02-25,t1,-8.032608942,0.841781381,237.1697064,1.315161408,8.062032903,1.373911426,2,FALSE
1827-02-25,t2,-20.59252503,0.057793994,241.1813865,0.447678991,12.07371302,0.388928967,2,FALSE
1827-02-25,t3,-11.17303833,0.092616125,189.9965825,0.591361038,-39.11109094,0.650111075,2,FALSE
1827-02-26,t3,-9.826377078,0.899447115,192.1902069,1.711766233,-23.59890509,1.703266963,4,FALSE
1827-02-28,t3,-16.95134899,1.940157285,193.6553598,0.528492755,4.158291733,0.57305646,6,FALSE
1827-03-06,t3,17.04496337,2.814233073,105.8616182,0.691173615,-4.704869968,0.655533302,2,FALSE
1827-03-07,t3,16.26281109,1.663214632,104.3976748,1.586086408,8.169529969,1.532362485,4,TRUE
1830-03-21,t,7.810163166,0.080983629,171.2787311,0.204127161,-33.93915083,0.164198376,2,TRUE
1830-03-22,t,9.130529566,0.61814863,170.7904531,1.033078524,-21.28203218,1.002236703,4,TRUE
1830-03-24,t,8.60325875,0.459733333,170.6283948,0.841032646,4.846726646,0.847061705,5,TRUE
1830-03-25,t,9.795559941,1.52451249,172.3153823,0.431905065,19.78072519,0.528510637,2,TRUE
1830-03-26,t,7.999909026,,173.1473845,,33.44616174,,1,TRUE
1830-06-30,t,8.869906959,1.332284672,318.5132615,0.736122605,7.977773378,0.706812123,6,TRUE
1830-07-02,t,13.62256318,2.677023661,318.0981756,0.688734542,33.97476391,0.652674318,7,TRUE
1830-07-30,t,14.526301,0.558798498,313.9591648,0.782946361,40.5584692,0.785298845,3,TRUE
1830-07-31,t,14.56021159,,312.6541294,,52.53971137,,1,TRUE
1830-09-27,t,3.300328062,,232.9460723,,17.02471214,,1,FALSE
1830-09-30,t,-15.88598837,2.961506551,195.1282693,0.463070913,18.84168729,0.519479486,4,FALSE
1830-10-03,t,-10.88398549,0.573350072,95.73481108,0.588711228,-40.93736752,0.61145525,4,TRUE
1830-10-04,t,-11.4448217,1.085175595,94.49801201,1.484193571,-29.03098244,1.495901166,4,TRUE
1830-10-06,t,-11.25095393,1.128628315,96.49429888,1.260941813,-0.681767604,1.238379043,5,TRUE
1830-10-07,t,-10.87353771,0.516030252,96.31963131,1.021108216,12.38112905,1.007779412,6,TRUE
1830-10-09,t,-9.735744662,0.704953402,96.90785338,0.413963967,39.32100461,0.390428508,4,TRUE
1830-10-10,t,-10.71401739,0.489681312,96.67581423,0.163286421,52.25159655,0.191419924,4,TRUE
1830-10-11,t,-10.39436531,0.785503137,97.49657064,2.25795626,66.28293566,2.279294812,6,TRUE
1830-10-13,t,17.86351955,0.651643348,314.6106909,0.653505206,-50.21509968,0.650035661,4,FALSE
